dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.6958     0.6691     0.4136     0.3612     0.4250     0.0748     0.0748     5.1059     0.0447     SI         0.0000000000     -2.087557+0.000000j | -0.017393+0.169470j | -0.017393-0.169470j | -0.006568+0.088381j | -0.006568-0.088381j | -0.000000+0.000000j | -0.000000+0.000000j
0.6785     0.6634     0.3819     0.3411     0.4130     0.0769     0.0769     5.1619     0.0483     SI         0.0000000000     -1.930983+0.000000j | -0.018839+0.175137j | -0.018839-0.175137j | -0.006590+0.092485j | -0.006590-0.092485j | +0.000000+0.000000j | -0.000000+0.000000j
0.6402     0.5379     0.2273     0.1184     0.2433     0.0953     0.0953     5.6135     0.1070     SI         0.0000000157     -0.718866+0.000000j | -0.048561+0.294428j | -0.048561-0.294428j | -0.004965+0.129296j | -0.004965-0.129296j | +0.000000+0.000000j | -0.000000+0.000000j
0.9324     0.6620     0.8299     0.3927     0.4431     0.0588     0.0588     4.6907     0.0259     SI         0.0000000001     -3.468502+0.000000j | -0.011844+0.139610j | -0.011844-0.139610j | -0.005273+0.059881j | -0.005273-0.059881j | +0.000000+0.000000j | +0.000000+0.000000j
1.5431     0.6050     4.0881     0.2409     0.3470     0.0166     0.0166     1.7880     0.0027     SI         0.0000015059     -13.013623+0.000000j | -0.007453+0.032312j | -0.007453-0.032312j | -0.002853+0.010648j | -0.002853-0.010648j | -0.000000+0.000000j | +0.000000+0.000000j
0.6726     0.6331     0.3355     0.2641     0.3634     0.0814     0.0814     5.3148     0.0593     SI         0.0000000000     -1.559035+0.000000j | -0.024275+0.197835j | -0.024275-0.197835j | -0.006303+0.101871j | -0.006303-0.101871j | -0.000000+0.000000j | -0.000000+0.000000j
0.9936     0.7482     1.9026     1.2101     0.7779     0.0292     0.0292     2.5452     0.0057     SI         0.0000000000     -8.789929+0.000000j | -0.004835+0.063760j | -0.004835-0.063760j | -0.006242+0.025283j | -0.006242-0.025283j | +0.000000+0.000000j | +0.000000+0.000000j
0.7225     0.5697     0.3136     0.1524     0.2760     0.0853     0.0853     5.5094     0.0781     SI         0.0000000001     -1.130053+0.000000j | -0.035712+0.246543j | -0.035712-0.246543j | -0.005300+0.110000j | -0.005300-0.110000j | +0.000000+0.000000j | +0.000000+0.000000j
0.8130     0.4961     0.3080     0.0682     0.1847     0.0866     0.0866     5.6658     0.1001     SI         0.0000000079     -0.795040+0.000000j | -0.048733+0.314790j | -0.048733-0.314790j | -0.003695+0.107758j | -0.003695-0.107758j | +0.000000+0.000000j | +0.000000+0.000000j
0.8435     0.8180     1.7930     2.0263     1.0066     0.0196     0.0196     1.6317     0.0031     SI         0.0000000306     -10.365557+0.000000j | -0.003109+0.044543j | -0.003109-0.044543j | -0.007426+0.018444j | -0.007426-0.018444j | -0.000000+0.000000j | +0.000000+0.000000j
